===== 종합 대시보드 =====
  1: 잠실/송파 재건축 투자 종합 대시보드 (2026.02 기준) |  |  |  |  |  |  |  |  | 
  3: [핵심 지표 요약] |  |  |  |  |  |  |  |  | 
  4: 지표 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리 | 비고
  5: 매매가(억) | 45 | 26.5 | 25 | 24 | 22 | 28 | 29 | 21.5 | 전용84m²
  6: 전세가율(%) | 27.8 | 34 | 34 | 33.3 | 34.1 | 25 | 20.7 | 25.6 | 
  7: 재건축진행률(%) | 65 | 45 | 40 | 55 | 70 | 25 | 20 | 20 | 
  8: ROI 중립(%) | -13.4 | 20.5 | 20.9 | 26.4 | 24.7 | 16.6 | 9.4 | 10.3 | 
  9: 종합점수 | 7.61 | 6.91 | 6.54 | 6.8 | 7.02 | 6.05 | 5.67 | 5.43 | 가중평균
 11: [투자자 유형별 TOP3 추천] |  |  |  |  |  |  |  |  | 
 12: 투자자 유형 | 1순위 | 2순위 | 3순위 | 추천 사유 |  |  |  |  | 
 13: 공격적(고수익추구) | 우성4차 | 올림픽선수촌 | 장미1·2차 | 빠른 사업속도+최대 용적률 상승+한강조망 프리미엄 |  |  |  |  | 
 14: 안정적(자산보전) | 잠실주공5단지 | 우성1·2·3차 | 장미1·2차 | 최고입지+확정시공사+브랜드가치 보장 |  |  |  |  | 
 15: 가성비(진입가대비) | 올림픽훼밀리 | 우성4차 | 장미3차 | 낮은 매입가 대비 높은 수익률 기대 |  |  |  |  | 
 17: [시장 환경 요약] |  |  |  |  |  |  |  |  | 
 18: 항목 | 현황 | 투자 영향 |  |  |  |  |  |  | 
 19: 기준금리 | 2.50% (2026.01 인하) | 대출이자 부담 완화, 매수심리 개선 |  |  |  |  |  |  | 
 20: 토지거래허가 | 잠실동 전체 2026.06까지 연장 | 실거주 의무, 전세 불가 → 진입장벽 |  |  |  |  |  |  | 
 21: 재건축초과이익환수(재초환) | 2026년 본격 적용 | 초과이익 최대 50% 환수, 수익률 하락 요인 |  |  |  |  |  |  | 
 22: 분양가상한제 | 과열지역 적용 지속 | 일반분양 수익 제한, 조합원 분담금 증가 가능 |  |  |  |  |  |  | 
 23: GTX-A / MICE 복합단지 | 2025말 개통 / 잠실종합운동장 개발 | 잠실권 교통·미래가치 상승 |  |  |  |  |  |  | 
 26: 단지명 | ROI 중립(%) |  |  |  |  |  |  |  | 
 27: 주공5 | -13.4 |  |  |  |  |  |  |  | 
 28: 장미1·2 | 20.5 |  |  |  |  |  |  |  | 
 29: 장미3 | 20.9 |  |  |  |  |  |  |  | 
 30: 우성1·2·3 | 26.4 |  |  |  |  |  |  |  | 
 31: 우성4 | 24.7 |  |  |  |  |  |  |  | 
 32: 아시아 | 16.6 |  |  |  |  |  |  |  | 
 33: 선수촌 | 9.4 |  |  |  |  |  |  |  | 
 34: 훼밀리 | 10.3 |  |  |  |  |  |  |  | 

===== 종합 스코어카드 =====
  1: 잠실/송파 재건축 다차원 투자 스코어카드 (8개 단지) |  |  |  |  |  |  |  |  |  | 
  3: 평가 팩터 | 가중치 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리 | 비고
  4: 입지 프리미엄 | 12 | 10 | 9 | 8 | 8 | 7 | 9 | 8 | 7 | 
  5: 역세권 접근성 | 8 | 10 | 8 | 7 | 7 | 7 | 8 | 7 | 8 | 
  6: 한강 조망 | 6 | 9 | 10 | 9 | 6 | 5 | 5 | 4 | 3 | 
  7: 학군 | 5 | 8 | 8 | 8 | 8 | 8 | 8 | 7 | 7 | 
  8: 생활 인프라 | 5 | 9 | 8 | 8 | 8 | 8 | 8 | 8 | 7 | 
  9: 대형 개발호재 | 8 | 10 | 8 | 8 | 7 | 7 | 9 | 8 | 6 | 
 10: 재건축 진행도 | 10 | 7 | 5 | 4 | 6 | 8 | 3 | 2 | 2 | 
 11: 시공사 신뢰도 | 7 | 10 | 5 | 5 | 8 | 7 | 4 | 4 | 4 | 
 12: 브랜드 가치 | 5 | 10 | 5 | 5 | 7 | 7 | 4 | 4 | 4 | 
 13: 단지 규모 | 4 | 10 | 8 | 7 | 7 | 4 | 8 | 10 | 9 | 
 14: 가격 매력도 | 8 | 3 | 6 | 7 | 7 | 8 | 5 | 5 | 7 | 
 15: 전세가율(갭) | 3 | 2 | 5 | 5 | 5 | 6 | 3 | 2 | 3 | 
 16: 기대 수익률 | 8 | 3 | 7 | 7 | 6 | 8 | 6 | 7 | 6 | 
 17: 유동성 | 3 | 4 | 6 | 5 | 6 | 7 | 4 | 4 | 5 | 
 18: 리스크 안정성 | 7 | 7 | 5 | 5 | 6 | 7 | 4 | 4 | 4 | 
 19: 조합 안정성 | 4 | 8 | 6 | 5 | 6 | 7 | 5 | 4 | 4 | 
 20: 정책 수혜 | 3 | 8 | 7 | 7 | 7 | 7 | 7 | 7 | 6 | 
 21: 랜드마크 잠재력 | 4 | 10 | 8 | 7 | 6 | 5 | 9 | 8 | 5 | 
 22: 임대수익 | 2 | 3 | 5 | 5 | 5 | 6 | 3 | 3 | 4 | 
 23: 보유비용 효율 | 3 | 3 | 6 | 6 | 7 | 8 | 4 | 4 | 6 | 
 25: 가중평균 종합점수 | 100% | 7.61 | 6.91 | 6.54 | 6.8 | 7.02 | 6.05 | 5.67 | 5.43 | 
 26: 투자 추천 순위 |  | 1위 | 3위 | 5위 | 4위 | 2위 | 6위 | 7위 | 8위 | 
 28: 카테고리 | 가중치 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리 | 
 29: 입지/환경 | 36 | 9.4 | 8.7 | 7.9 | 7.4 | 6.9 | 7.8 | 7 | 6.6 | 
 30: 재건축 사업성 | 34 | 9.1 | 6.1 | 5.6 | 6.9 | 6.9 | 5.4 | 5.1 | 4.5 | 
 31: 투자 수익성 | 24 | 3 | 6.1 | 6.3 | 6.1 | 7.5 | 4.8 | 5 | 5.7 | 
 32: 안정성/리스크 | 17 | 6.7 | 5.8 | 5.5 | 6.4 | 7.2 | 4.8 | 4.5 | 4.7 | 
 33: 미래 가치 | 4 | 10 | 8 | 7 | 6 | 5 | 9 | 8 | 5 | 
 36: 카테고리 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리 |  | 
 37: 입지/환경 | 9.4 | 8.7 | 7.9 | 7.4 | 6.9 | 7.8 | 7 | 6.6 |  | 
 38: 재건축 사업성 | 9.1 | 6.1 | 5.6 | 6.9 | 6.9 | 5.4 | 5.1 | 4.5 |  | 
 39: 투자 수익성 | 3 | 6.1 | 6.3 | 6.1 | 7.5 | 4.8 | 5 | 5.7 |  | 
 40: 안정성/리스크 | 6.7 | 5.8 | 5.5 | 6.4 | 7.2 | 4.8 | 4.5 | 4.7 |  | 
 41: 미래 가치 | 10 | 8 | 7 | 6 | 5 | 9 | 8 | 5 |  | 

===== 단지별 기본정보 =====
  1: 8개 재건축 단지 기본정보 비교 |  |  |  |  |  |  |  | 
  3: 항목 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리
 19: 장미3차 | 잠실동 221 | 1983 | 900 | 25 | 8.5 | 재건축 장미통합 사업시행인가 진행중
 20: 우성1·2·3차 | 잠실동 22 | 1981 | 1842 | 24 | 8 | 재건축 사업시행인가 진행중
 21: 우성4차 | 잠실동 19 | 1982 | 555 | 22 | 7.5 | 재건축 관리처분인가 준비중
 22: 아시아선수촌 | 잠실동 | 1986 | 1356 | 28 | 7 | 재건축 추진위 승인 완료
 23: 올림픽선수촌 | 방이동 89 | 1988 | 5540 | 29 | 6 | 재건축 추진위 승인 완료
 24: 올림픽훼밀리 | 문정동 150 | 1988 | 4494 | 21.5 | 5.5 | 재건축 추진위 승인 완료
 26: 단지 | 매매가(억) |  |  |  |  | 
 27: 잠실엘스 | 28 |  |  |  |  | 
 28: 리센츠 | 27.5 |  |  |  |  | 
 29: 트리지움 | 25 |  |  |  |  | 
 30: 파크리오 | 28.5 |  |  |  |  | 
 31: 레이크팰리스 | 25.5 |  |  |  |  | 
 32: 잠실래미안아이파크 | 32 |  |  |  |  | 
 33: 헬리오시티 | 24.5 |  |  |  |  | 
 34: 올림픽파크포레온 | 24 |  |  |  |  | 
 35: 래미안원베일리 | 42 |  |  |  |  | 
 36: 디에이치포레센트 | 38 |  |  |  |  | 
 37: 잠실주공5단지 | 45 |  |  |  |  | 
 38: 장미1·2차 | 26.5 |  |  |  |  | 
 39: 장미3차 | 25 |  |  |  |  | 
 40: 우성1·2·3차 | 24 |  |  |  |  | 
 41: 우성4차 | 22 |  |  |  |  | 
 42: 아시아선수촌 | 28 |  |  |  |  | 
 43: 올림픽선수촌 | 29 |  |  |  |  | 
 44: 올림픽훼밀리 | 21.5 |  |  |  |  | 

===== 정책규제 영향 =====
  1: 정책/규제 영향 분석 |  |  | 
  3: 정책/규제 | 현황 | 투자 영향 | 영향도
  4: 토지거래허가제 | 잠실동 전체(2026.06.22까지) | 실거주 의무, 전세불가 | 매우높음
  5: 재건축초과이익환수제 | 2026년 본격 적용 | 초과이익 최대50% 환수 | 매우높음
  6: 분양가상한제 | 과열지역 적용 | 일반분양 수익 제한 | 높음
  7: 안전진단 완화 | 구조안전성 비중 30%로 하향 | 재건축 착수 용이 | 긍정적
  8: 종부세 강화 | 2026 공정시장가액비율100% | 보유세 대폭 증가 | 높음
  9: 다주택 양도세 중과 | 조정지역+20~30%p | 단기매도시 세부담 극대화 | 높음
 10: DSR 규제 | 총부채원리금상환비율40% | 대출한도 제한 | 중간
 11: GTX-A 개통 | 2025말 개통 | 교통 프리미엄 강화 | 긍정적
 12: MICE 복합단지 | 잠실종합운동장 일대 | 잠실 미래가치 상승 | 긍정적
 13: 3호선 송파하남연장 | 2032년 개통 예정 | 올림픽선수촌 수혜 | 긍정적

===== 타임라인 로드맵 =====
  1: 단지별 재건축 타임라인 로드맵 (2020~2035) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
  3: 단지 | 2020 | 2021 | 2022 | 2023 | 2024 | 2025 | 2026 | 2027 | 2028 | 2029 | 2030 | 2031 | 2032 | 2033 | 2034 | 2035 | 
  4: 주공5 | 조합설립인가 |  |  |  |  | 사업시행인가 신청 | 관리처분인가(목표) | 이주/착공 |  |  | 준공(목표) | 입주 |  |  |  |  | 
  5: 장미1·2 |  | 조합설립인가 |  |  |  | 사업시행인가 진행 |  | 관리처분(목표) | 이주/착공 |  |  | 준공(목표) | 입주 |  |  |  | 
  6: 장미3 |  | 조합설립(통합) |  |  |  | 사업시행인가 진행 |  | 관리처분(목표) | 이주/착공 |  |  | 준공(목표) | 입주 |  |  |  | 
  7: 우성1·2·3 | 조합설립인가 |  |  |  |  | 사업시행인가(GS건설) | 관리처분(목표) | 이주/착공 |  |  |  | 준공(목표) | 입주 |  |  |  | 
  8: 우성4 | 조합설립인가 |  |  |  | 사업시행인가 완료 |  | 관리처분인가/이주 착공(09월) |  |  | 준공(목표) | 입주 |  |  |  |  |  | 
  9: 아시아 |  |  |  |  | 추진위 승인 |  | 조합설립(목표) |  | 사업시행인가(목표) |  | 이주/착공 |  |  | 준공(목표) |  | 입주 | 
 10: 선수촌 |  |  |  |  | 추진위 승인 |  | 조합설립(목표) |  | 사업시행인가(목표) | 이주/착공 |  |  |  | 준공(목표) |  | 입주 | 
 11: 훼밀리 |  |  |  |  | 추진위 승인 |  | 조합설립(목표) |  | 사업시행인가(목표) | 이주/착공 |  |  |  | 준공(목표) |  | 입주 | 
 14: 범례: |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 15: 노란색 셀 = 주요 이벤트 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 16: 파란색 열 = 현재 연도 (2026) |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 

===== 송파구 전체 정비사업 =====
  1: 송파구 전체 재건축/재개발/리모델링 현황 (28개 사업) |  |  |  |  |  |  | 
  3: 단지명 | 위치 | 유형 | 준공 | 기존세대 | 재건축세대 | 진행단계 | 유망도
  4: 잠실주공5단지 | 잠실동 | 재건축 | 1978 | 3930 | 6491 | 사업시행인가 신청 | 상
  5: 장미1·2·3차(통합) | 잠실동 | 재건축 | 1979 | 3162 | 5165 | 사업시행인가 진행중 | 상
  6: 우성1·2·3차 | 잠실동 | 재건축 | 1981 | 1842 | 2680 | 사업시행인가 진행중 | 상
  7: 우성4차 | 잠실동 | 재건축 | 1982 | 555 | 825 | 관리처분인가 준비중 | 상
  8: 아시아선수촌 | 잠실동 | 재건축 | 1986 | 1356 | 3483 | 추진위 승인 | 상
  9: 올림픽선수기자촌 | 방이동 | 재건축 | 1988 | 5540 | 9200 | 추진위 승인 | 상
 10: 올림픽훼밀리타운 | 문정동 | 재건축 | 1988 | 4494 | 6620 | 추진위 승인 | 상
 11: 잠실르엘(미성크로바) | 잠실동 | 재건축 | 1978 | 1400 | 1865 | 시공중(2026분양) | 완료단계
 12: 잠실래미안아이파크(진주) | 잠실동 | 재건축 | 1980 | 1507 | 2678 | 준공(2025.12) | 완료단계
 13: 가락극동(르엘) | 가락동 | 재건축 | 1984 | 588 | 999 | 시공사선정(롯데) | 중상
 14: 가락프라자 | 가락동 | 재건축 | 1985 | 670 | 1068 | 관리처분완료/이주시작 | 중상
 15: 삼환가락 | 가락동 | 재건축 | 1984 | 660 | 1101 | 사업시행인가 완료 | 중
 16: 가락미륭 | 가락동 | 재건축 | 1985 | 450 | 614 | 사업시행인가 완료 | 중
 17: 가락상아1차 | 가락동 | 재건축 | 1984 | 226 | 405 | 이주완료/착공준비 | 중
 18: 가락쌍용1차 | 가락동 | 리모델링 | 1987 | 2064 | 2348 | 사전자문 통과 | 중
 19: 가락쌍용2차(래미안아펠릭스) | 가락동 | 리모델링 | 1988 | 492 | 565 | 조합설립/시공사선정 | 중
 20: 한양3차+대림가락(래미안비아채) | 방이동 | 재건축 | 1984 | 1060 | 1374 | 시공사선정(삼성물산) | 중상
 21: 방이코오롱 | 방이동 | 재건축 | 1991 | 758 | 1011 | 안전진단통과/추진위구성 | 중
 22: 오금현대2·3·4차 | 오금동 | 재건축 | 1984 | 1316 | 2436 | 정비구역확정/조합설립중 | 중상
 23: 오금대림 | 오금동 | 재건축 | 1988 | 749 |  | 안전진단E등급/재건축확정 | 중
 24: 송파한양1차 | 송파동 | 재건축 | 1983 | 748 | 954 | 신통기획 자문완료 | 중
 25: 송파한양2차 | 송파동 | 재건축 | 1983 | 930 | 1346 | 정비구역확정/시공사선정중 | 중상
 26: 풍납미성 | 풍납동 | 재건축 | 1987 | 311 | 413 | 신통기획 자문완료 | 중상
 27: 풍납극동 | 풍납동 | 재건축 | 1986 | 400 | 642 | 신통기획 자문완료 | 중상
 28: 마천1구역 | 마천동 | 재개발 |  |  | 2900 | 추진중 | 중
 29: 마천2구역 | 마천동 | 재개발 |  |  | 1729 | 촉진구역확정 | 중
 30: 마천4구역 | 마천동 | 재개발 |  |  | 1254 | 사업시행진행(현대건설) | 중
 31: 거여새마을 | 거여동 | 재개발 |  |  | 1678 | 시공사선정(삼성+GS) | 중
 34: ※ 총 41개 정비사업 중 주요 28개 사업 표시. 소규모 정비/가로주택 등 제외. |  |  |  |  |  |  | 

===== 최종 투자 판단 =====
  1: 최종 투자 판단 종합 매트릭스 (8개 단지) |  |  |  |  |  |  |  | 
  3: [투자자 유형별 추천] |  |  |  |  |  |  |  | 
  4: 투자자 유형 | 1순위 | 2순위 | 이유 | 주의사항 |  |  |  | 
  5: 공격적(고수익) | 우성4차 | 올림픽선수촌 | 빠른사업/최대사업성 | 소규모/초기단계 |  |  |  | 
  6: 안정적(자산보전) | 잠실주공5단지 | 장미1·2차 | 최고입지/브랜드 | 높은매입가 |  |  |  | 
  7: 중장기(5년+) | 올림픽선수촌 | 아시아선수촌 | 용적률137%/잠재력 | 8~10년소요 |  |  |  | 
  8: 가성비(진입가대비) | 올림픽훼밀리 | 우성4차 | 낮은매입가 | 분담금/고도제한 |  |  |  | 
  9: 실거주+투자 | 잠실주공5단지 | 우성1·2·3차 | 잠실핵심입지 | 이주기간비용 |  |  |  | 
 12: [종합 평가 매트릭스] |  |  |  |  |  |  |  | 
 13: 평가 항목 | 주공5 | 장미1·2 | 장미3 | 우성1·2·3 | 우성4 | 아시아 | 선수촌 | 훼밀리
 14: 입지/환경(30%) | 9.4 | 8.6 | 8 | 7.4 | 7 | 7.6 | 6.8 | 6.4
 15: 재건축사업성(25%) | 8.8 | 6.2 | 5.8 | 6.8 | 6.6 | 5.6 | 5.2 | 4.6
 16: 투자수익성(25%) | 3.6 | 5.8 | 5.8 | 5.6 | 7 | 4.2 | 4.2 | 5
 17: 안정성(10%) | 6.5 | 6 | 5.5 | 6.3 | 7.3 | 4.8 | 4.2 | 4.5
 18: 미래가치(10%) | 10 | 8 | 7 | 6 | 5 | 9 | 8 | 5
 19: 가중종합점수(100점) | 75.7 | 69.8 | 65.5 | 65.5 | 67.3 | 61.1 | 56.1 | 52.7
 20: 최종 순위 | 1위 | 2위 | 4위 | 5위 | 3위 | 6위 | 7위 | 8위
 22: [핵심 결론 및 전략적 제언] |  |  |  |  |  |  |  | 
 23: 1. [단기 최고ROI] 우성4차: 2029 준공, 22억→35억 (연환산 6.8%) |  |  |  |  |  |  |  | 
 24:    → 사업진행 가장 빠름, 49층 초고층 확정, 착공 임박 |  |  |  |  |  |  |  | 
 26: 2. [초대형 잠재력] 올림픽선수촌: 용적률137%, 분담금0~2억, 9200세대 |  |  |  |  |  |  |  | 
 27:    → 서울 최대급 재건축, 장기투자 시 최대 수혜 가능성 |  |  |  |  |  |  |  | 
 28:    → 단, 사업 초기(추진위 단계), 준공까지 8~10년 소요 |  |  |  |  |  |  |  | 
 30: 3. [밸런스] 장미1·2차: 한강조망+적정가+5165세대 대단지 |  |  |  |  |  |  |  | 
 31:    → 26.5억 매입, 42억+ 기대, 리스크 대비 수익 균형 |  |  |  |  |  |  |  | 
 33: 4. [확정시공사] 우성1·2·3차: GS건설 확정, 자이 브랜드 |  |  |  |  |  |  |  | 
 34:    → 24억 매입, 시공사 리스크 해소, 안정적 중기 투자 |  |  |  |  |  |  |  | 
 36: 5. [트로피자산] 잠실주공5단지: 최고입지이나 프리미엄 과반영 |  |  |  |  |  |  |  | 
 37:    → 45억 매입, 순수익 제한적, 자산가치 보전 목적에 적합 |  |  |  |  |  |  |  | 
 39: 6. [가성비] 올림픽훼밀리: 21.5억 진입, 가락시장역 초역세권 |  |  |  |  |  |  |  | 
 40:    → 분담금3.6억+고도제한26층이 약점, 장기 보유 전략 필요 |  |  |  |  |  |  |  | 
 42: 7. [사업초기] 아시아선수촌: 잠실동 핵심+3483세대, 추진위 단계 |  |  |  |  |  |  |  | 
 43:    → 초기진입 기회있으나 준공까지 8~10년, 자금여력 필수 |  |  |  |  |  |  |  | 
 45: 8. [분산전략] 우성4차(22억)+장미1·2차(26.5억) 동시매입 고려 |  |  |  |  |  |  |  | 
 46:    → 총48.5억 투자, 리스크 분산+수익 극대화 포트폴리오 |  |  |  |  |  |  |  | 
 48: ※ 토지거래허가제(2026.06)+재초환+보유세강화 = 공통 리스크 |  |  |  |  |  |  |  | 
 49: ※ 매입 전 실거주 계획 및 세금 시뮬레이션 필수 |  |  |  |  |  |  |  | 
 51: ※ 2026.02 기준 공개데이터 및 시장정보 기반. 투자판단 참고자료이며, 전문가 상담 권장. |  |  |  |  |  |  |  | 

